
learning rate:0.0001
batch_size:8
epoch:10
Epoch:[   1] [ 310/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 311/ 400], accuracy:[0.12500000]
Epoch:[   1] [ 312/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 313/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 314/ 400], accuracy:[0.50000000]
Epoch:[   1] [ 315/ 400], accuracy:[0.50000000]
Epoch:[   1] [ 316/ 400], accuracy:[0.62500000]
Epoch:[   1] [ 317/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 318/ 400], accuracy:[0.12500000]
Epoch:[   1] [ 319/ 400], accuracy:[0.50000000]
Epoch:[   1] [ 320/ 400], accuracy:[0.50000000]
Epoch:[   1] [ 321/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 322/ 400], accuracy:[0.12500000]
Epoch:[   1] [ 323/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 324/ 400], accuracy:[0.12500000]
Epoch:[   1] [ 325/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 326/ 400], accuracy:[0.50000000]
Epoch:[   1] [ 327/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 328/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 329/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 330/ 400], accuracy:[0.62500000]
Epoch:[   1] [ 331/ 400], accuracy:[0.62500000]
Epoch:[   1] [ 332/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 333/ 400], accuracy:[0.50000000]
Epoch:[   1] [ 334/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 335/ 400], accuracy:[0.12500000]
Epoch:[   1] [ 336/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 337/ 400], accuracy:[0.62500000]
Epoch:[   1] [ 338/ 400], accuracy:[0.50000000]
Epoch:[   1] [ 339/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 340/ 400], accuracy:[0.62500000]
Epoch:[   1] [ 341/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 342/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 343/ 400], accuracy:[0.12500000]
Epoch:[   1] [ 344/ 400], accuracy:[0.12500000]
Epoch:[   1] [ 345/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 346/ 400], accuracy:[0.75000000]
Epoch:[   1] [ 347/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 348/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 349/ 400], accuracy:[0.75000000]
Epoch:[   1] [ 350/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 351/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 352/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 353/ 400], accuracy:[0.50000000]
Epoch:[   1] [ 354/ 400], accuracy:[0.12500000]
Epoch:[   1] [ 355/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 356/ 400], accuracy:[0.75000000]
Epoch:[   1] [ 357/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 358/ 400], accuracy:[0.50000000]
Epoch:[   1] [ 359/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 360/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 361/ 400], accuracy:[0.12500000]
Epoch:[   1] [ 362/ 400], accuracy:[0.50000000]
Epoch:[   1] [ 363/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 364/ 400], accuracy:[0.75000000]
Epoch:[   1] [ 365/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 366/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 367/ 400], accuracy:[0.62500000]
Epoch:[   1] [ 368/ 400], accuracy:[0.62500000]
Epoch:[   1] [ 369/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 370/ 400], accuracy:[0.12500000]
Epoch:[   1] [ 371/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 372/ 400], accuracy:[0.12500000]
Epoch:[   1] [ 373/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 374/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 375/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 376/ 400], accuracy:[0.12500000]
Epoch:[   1] [ 377/ 400], accuracy:[0.12500000]
Epoch:[   1] [ 378/ 400], accuracy:[0.50000000]
Epoch:[   1] [ 379/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 380/ 400], accuracy:[0.62500000]
Epoch:[   1] [ 381/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 382/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 383/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 384/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 385/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 386/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 387/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 388/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 389/ 400], accuracy:[0.75000000]
Epoch:[   1] [ 390/ 400], accuracy:[0.12500000]
Epoch:[   1] [ 391/ 400], accuracy:[0.50000000]
Epoch:[   1] [ 392/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 393/ 400], accuracy:[0.62500000]
Epoch:[   1] [ 394/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 395/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 396/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 397/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 398/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 399/ 400], accuracy:[0.25000000]
Epoch:[   2] [   0/ 400], accuracy:[0.25000000]
Epoch:[   2] [   1/ 400], accuracy:[0.25000000]
Epoch:[   2] [   2/ 400], accuracy:[0.37500000]
Epoch:[   2] [   3/ 400], accuracy:[0.00000000]
Epoch:[   2] [   4/ 400], accuracy:[0.50000000]
Epoch:[   2] [   5/ 400], accuracy:[0.12500000]
Epoch:[   2] [   6/ 400], accuracy:[0.12500000]
Epoch:[   2] [   7/ 400], accuracy:[0.25000000]
Epoch:[   2] [   8/ 400], accuracy:[0.25000000]
Epoch:[   2] [   9/ 400], accuracy:[0.12500000]
Epoch:[   2] [  10/ 400], accuracy:[0.37500000]
Epoch:[   2] [  11/ 400], accuracy:[0.50000000]
Epoch:[   2] [  12/ 400], accuracy:[0.50000000]
Epoch:[   2] [  13/ 400], accuracy:[0.62500000]
Epoch:[   2] [  14/ 400], accuracy:[0.37500000]
Epoch:[   2] [  15/ 400], accuracy:[0.62500000]
Epoch:[   2] [  16/ 400], accuracy:[0.25000000]
Epoch:[   2] [  17/ 400], accuracy:[0.12500000]
Epoch:[   2] [  18/ 400], accuracy:[0.25000000]
Epoch:[   2] [  19/ 400], accuracy:[0.37500000]
Epoch:[   2] [  20/ 400], accuracy:[0.62500000]
Epoch:[   2] [  21/ 400], accuracy:[0.62500000]
Epoch:[   2] [  22/ 400], accuracy:[0.50000000]
Epoch:[   2] [  23/ 400], accuracy:[0.25000000]
Epoch:[   2] [  24/ 400], accuracy:[0.25000000]
Epoch:[   2] [  25/ 400], accuracy:[0.25000000]
Epoch:[   2] [  26/ 400], accuracy:[0.50000000]
Epoch:[   2] [  27/ 400], accuracy:[0.50000000]
Epoch:[   2] [  28/ 400], accuracy:[0.75000000]
Epoch:[   2] [  29/ 400], accuracy:[0.62500000]
Epoch:[   2] [  30/ 400], accuracy:[0.50000000]
Epoch:[   2] [  31/ 400], accuracy:[0.75000000]
Epoch:[   2] [  32/ 400], accuracy:[0.75000000]
Epoch:[   2] [  33/ 400], accuracy:[0.25000000]
Epoch:[   2] [  34/ 400], accuracy:[0.75000000]
Epoch:[   2] [  35/ 400], accuracy:[0.50000000]
Epoch:[   2] [  36/ 400], accuracy:[0.37500000]
Epoch:[   2] [  37/ 400], accuracy:[0.50000000]
Epoch:[   2] [  38/ 400], accuracy:[0.62500000]
Epoch:[   2] [  39/ 400], accuracy:[0.87500000]
Epoch:[   2] [  40/ 400], accuracy:[0.25000000]
Epoch:[   2] [  41/ 400], accuracy:[0.25000000]
Epoch:[   2] [  42/ 400], accuracy:[0.50000000]
Epoch:[   2] [  43/ 400], accuracy:[0.12500000]
